UV_high_times,UV_high_vals,UV_low_times,UV_low_vals,G_high_times,G_high_vals,G_low_times,G_low_vals,IR_high_times,IR_high_vals,IR_low_times,IR_low_vals
11/8/2020 0:10,0.06003,11/8/2020 0:02,0.00501,11/8/2020 0:01,0.03001,11/8/2020 0:03,0.00124,11/8/2020 0:03,0.03751,11/8/2020 23:58,0.009
11/8/2020 0:30,0.05759,11/8/2020 1:00,0.00267,11/8/2020 0:31,0.03259,11/8/2020 0:40,0.00228,11/8/2020 0:18,0.06255,11/8/2020 23:02,0.00634
11/8/2020 0:52,0.03015,11/8/2020 2:00,0.00284,11/8/2020 1:16,0.03522,11/8/2020 1:04,0.0009,11/8/2020 0:24,0.03757,11/8/2020 22:45,0.0088
11/8/2020 1:17,0.05522,11/8/2020 2:33,0.00293,11/8/2020 2:22,0.0304,11/8/2020 1:29,0.00076,11/8/2020 1:12,0.03521,11/8/2020 22:18,0.00372
11/8/2020 1:35,0.03277,11/8/2020 3:24,0.01307,11/8/2020 3:18,0.04306,11/8/2020 1:59,0.00184,11/8/2020 1:22,0.06023,11/8/2020 22:01,0.00867
11/8/2020 1:53,0.02282,11/8/2020 3:43,0.02063,11/8/2020 3:30,0.10809,11/8/2020 2:21,0.00297,11/8/2020 1:44,0.03529,11/8/2020 21:32,0.0086
11/8/2020 2:25,0.02291,11/8/2020 3:55,0.02066,11/8/2020 3:33,0.1631,11/8/2020 2:45,0.00159,11/8/2020 1:55,0.06032,11/8/2020 21:03,0.00101
11/8/2020 2:41,0.0592,11/8/2020 3:58,0.05817,11/8/2020 3:44,0.21313,11/8/2020 3:06,0.00397,11/8/2020 2:05,0.03785,11/8/2020 20:26,0.00841
11/8/2020 2:49,0.06048,11/8/2020 4:03,0.09818,11/8/2020 3:44,0.18313,11/8/2020 3:33,0.01632,11/8/2020 2:32,0.04293,11/8/2020 20:05,0.00835
11/8/2020 3:03,0.05801,11/8/2020 4:11,0.1432,11/8/2020 3:54,0.24815,11/8/2020 3:41,0.05378,11/8/2020 2:54,0.06299,11/8/2020 19:38,0.00828
11/8/2020 3:11,0.03928,11/8/2020 4:24,0.03824,11/8/2020 3:59,0.27817,11/8/2020 3:49,0.09373,11/8/2020 3:13,0.08304,11/8/2020 19:20,0.00323
11/8/2020 3:23,0.03807,11/8/2020 4:29,0.19075,11/8/2020 4:01,0.32817,11/8/2020 3:53,0.13121,11/8/2020 3:19,0.03306,11/8/2020 19:02,0.00318
11/8/2020 3:33,0.0781,11/8/2020 4:40,0.23328,11/8/2020 4:08,0.3632,11/8/2020 3:59,0.17867,11/8/2020 3:27,0.12308,11/8/2020 18:39,0.00561
11/8/2020 3:40,0.12062,11/8/2020 4:43,0.09579,11/8/2020 4:13,0.39321,11/8/2020 4:08,0.22613,11/8/2020 3:35,0.0956,11/8/2020 18:19,0.00556
11/8/2020 3:46,0.15063,11/8/2020 4:51,0.28581,11/8/2020 4:21,0.43573,11/8/2020 4:18,0.26107,11/8/2020 3:41,0.14562,11/8/2020 17:37,0.00794
11/8/2020 3:54,0.16316,11/8/2020 4:54,0.03832,11/8/2020 4:28,0.53075,11/8/2020 4:25,0.31853,11/8/2020 3:55,0.17816,11/8/2020 17:10,0.01037
11/8/2020 4:06,0.22069,11/8/2020 5:06,0.32585,11/8/2020 4:30,0.46576,11/8/2020 4:34,0.36098,11/8/2020 4:00,0.23317,11/8/2020 16:34,0.00527
11/8/2020 4:10,0.2682,11/8/2020 5:19,0.34089,11/8/2020 4:45,0.5008,11/8/2020 4:41,0.38844,11/8/2020 4:16,0.21322,11/8/2020 16:03,0.00268
11/8/2020 4:17,0.31072,11/8/2020 5:30,0.37342,11/8/2020 4:51,0.63581,11/8/2020 4:51,0.39338,11/8/2020 4:21,0.33073,11/8/2020 15:39,0.00761
