date,wavelength,cali_method,telescope,cali_start_time,cali_stop_time,start_time_period,end_time_period,profile_path,lidar_path,molecular_path,LC,LC_std,r0,r1,dr,bin_r0,bin_r1,LC_recalc,LCp_recalc,bin_rm,rm
2017-09-01,355,Klett_Method,far_range,2017-09-01 00:00:00,2017-09-01 00:59:30,2017-09-01 00:00:00,2017-09-01 00:29:30,H:\data_haifa\DATA FROM TROPOS\data\level1a\PollyXT_TROPOS\2017\09\01\2017_09_01_Fri_TROPOS_00_00_01_0000_0059_profiles.nc,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,10326.736498949966,9.334701796051876,6.6594912109375,8.0641259765625,1.404634765625,850,1038,5413232412.069979,5413232412.069979,944,7.36180859375
2017-09-01,355,Klett_Method,far_range,2017-09-01 00:00:00,2017-09-01 00:59:30,2017-09-01 00:29:30,2017-09-01 00:59:00,H:\data_haifa\DATA FROM TROPOS\data\level1a\PollyXT_TROPOS\2017\09\01\2017_09_01_Fri_TROPOS_00_00_01_0000_0059_profiles.nc,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,10326.736498949966,9.334701796051876,6.6594912109375,8.0641259765625,1.404634765625,850,1038,4878487454.6332035,4878487454.6332035,944,7.36180859375
2017-09-01,355,Klett_Method,far_range,2017-09-01 01:34:30,2017-09-01 03:08:30,2017-09-01 01:34:30,2017-09-01 02:04:00,H:\data_haifa\DATA FROM TROPOS\data\level1a\PollyXT_TROPOS\2017\09\01\2017_09_01_Fri_TROPOS_00_00_01_0134_0308_profiles.nc,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,10027.18852413043,9.656172768036967,6.6594912109375,8.153783203125,1.4942919921875,850,1050,4554873180.778279,4693864154.335821,950,7.406637207031251
2017-09-01,355,Klett_Method,far_range,2017-09-01 01:34:30,2017-09-01 03:08:30,2017-09-01 02:04:00,2017-09-01 02:33:30,H:\data_haifa\DATA FROM TROPOS\data\level1a\PollyXT_TROPOS\2017\09\01\2017_09_01_Fri_TROPOS_00_00_01_0134_0308_profiles.nc,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,10027.18852413043,9.656172768036967,6.6594912109375,8.153783203125,1.4942919921875,850,1050,5405240636.48563,5481394222.590145,950,7.406637207031251
2017-09-01,355,Klett_Method,far_range,2017-09-01 01:34:30,2017-09-01 03:08:30,2017-09-01 02:33:30,2017-09-01 03:03:00,H:\data_haifa\DATA FROM TROPOS\data\level1a\PollyXT_TROPOS\2017\09\01\2017_09_01_Fri_TROPOS_00_00_01_0134_0308_profiles.nc,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,10027.18852413043,9.656172768036967,6.6594912109375,8.153783203125,1.4942919921875,850,1050,4734077207.880917,4878638933.921116,950,7.406637207031251
2017-09-01,355,Klett_Method,far_range,2017-09-01 03:09:30,2017-09-01 04:42:00,2017-09-01 03:09:30,2017-09-01 03:39:00,H:\data_haifa\DATA FROM TROPOS\data\level1a\PollyXT_TROPOS\2017\09\01\2017_09_01_Fri_TROPOS_00_00_01_0309_0442_profiles.nc,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,10164.218807150251,9.826610012914367,5.202556640625,6.6968486328125,1.4942919921875,655,855,4380158846.347332,11450121619.215622,755,5.94970263671875
2017-09-01,355,Klett_Method,far_range,2017-09-01 03:09:30,2017-09-01 04:42:00,2017-09-01 03:39:00,2017-09-01 04:08:30,H:\data_haifa\DATA FROM TROPOS\data\level1a\PollyXT_TROPOS\2017\09\01\2017_09_01_Fri_TROPOS_00_00_01_0309_0442_profiles.nc,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,10164.218807150251,9.826610012914367,5.202556640625,6.6968486328125,1.4942919921875,655,855,4971795389.601915,15174708903.317259,755,5.94970263671875
2017-09-01,355,Klett_Method,far_range,2017-09-01 03:09:30,2017-09-01 04:42:00,2017-09-01 04:08:30,2017-09-01 04:38:00,H:\data_haifa\DATA FROM TROPOS\data\level1a\PollyXT_TROPOS\2017\09\01\2017_09_01_Fri_TROPOS_00_00_01_0309_0442_profiles.nc,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,10164.218807150251,9.826610012914367,5.202556640625,6.6968486328125,1.4942919921875,655,855,4303922219.010207,14371010142.60284,755,5.94970263671875
2017-09-01,355,Klett_Method,far_range,2017-09-01 09:05:00,2017-09-01 09:57:00,2017-09-01 09:05:00,2017-09-01 09:34:30,H:\data_haifa\DATA FROM TROPOS\data\level1a\PollyXT_TROPOS\2017\09\01\2017_09_01_Fri_TROPOS_06_00_01_0905_0957_profiles.nc,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,9753.764357014554,10.402600703984225,2.931232666015625,4.41805322265625,1.486820556640625,351,550,4461635803.689507,5451698045.984467,450,3.674642944335938
2017-09-01,355,Klett_Method,far_range,2017-09-01 18:00:00,2017-09-01 18:59:30,2017-09-01 18:00:00,2017-09-01 18:29:30,H:\data_haifa\DATA FROM TROPOS\data\level1a\PollyXT_TROPOS\2017\09\01\2017_09_01_Fri_TROPOS_18_00_01_1800_1859_profiles.nc,D:\data_haifa\DATA FROM TROPOS\lidar_dataset\2017\09\2017_09_01_Haifa_range_corr_355_lidar.nc,D:\data_haifa\DATA FROM TROPOS\molecular_dataset\2017\09\2017_09_01_Haifa_attbsc_355_molecular.nc,10380.37366522752,9.2435537910948,8.07159716796875,9.1400166015625,1.06841943359375,1039,1182,4248673978.6944356,4388148627.711104,1110,8.605806884765625
