Wavelength (nm)	Rayleigh-Scattering Cross Section (cm^2)	Rayleigh Volume-Scattering Coefficient (km^-1)
200.0	3.612e-25	0.9202
210.0	2.836e-25	0.7225
220.0	2.269e-25	0.5781
230.0	1.841e-25	0.4691
240.0	1.515e-25	0.3859
250.0	1.259e-25	0.3208
260.0	1.056e-25	0.269
270.0	8.939e-26	0.2277
280.0	7.614e-26	0.194
290.0	6.534e-26	0.1665
300.0	5.642e-26	0.1437
310.0	4.903e-26	0.1249
320.0	4.279e-26	0.109
330.0	3.752e-26	0.09557
340.0	3.307e-26	0.08425
350.0	2.924e-26	0.0745
360.0	2.598e-26	0.06619
370.0	2.317e-26	0.05901
380.0	2.071e-26	0.05275
390.0	1.858e-26	0.04734
400.0	1.673e-26	0.04261
410.0	1.509e-26	0.03845
420.0	1.366e-26	0.03479
430.0	1.239e-26	0.03156
440.0	1.127e-26	0.0287
450.0	1.027e-26	0.02616
460.0	9.378e-27	0.02389
470.0	8.583e-27	0.02187
480.0	7.871e-27	0.02005
490.0	7.232e-27	0.01842
500.0	6.656e-27	0.01696
510.0	6.138e-27	0.01564
520.0	5.669e-27	0.01444
530.0	5.245e-27	0.01336
540.0	4.86e-27	0.01238
550.0	4.509e-27	0.01149
560.0	4.189e-27	0.01067
570.0	3.897e-27	0.009927
580.0	3.63e-27	0.009247
590.0	3.385e-27	0.008624
600.0	3.161e-27	0.008053
610.0	2.956e-27	0.00753
620.0	2.767e-27	0.007049
630.0	2.593e-27	0.006605
640.0	2.432e-27	0.006196
650.0	2.284e-27	0.005819
660.0	2.147e-27	0.00547
670.0	2.02e-27	0.005146
680.0	1.903e-27	0.004847
690.0	1.793e-27	0.004568
700.0	1.692e-27	0.00431
710.0	1.597e-27	0.004069
720.0	1.51e-27	0.003846
730.0	1.428e-27	0.003637
740.0	1.351e-27	0.003442
750.0	1.28e-27	0.003261
760.0	1.213e-27	0.00309
770.0	1.15e-27	0.002931
780.0	1.092e-27	0.002781
790.0	1.037e-27	0.002641
800.0	9.854e-28	0.00251
900.0	6.129e-28	0.001561
1000.0	4.01e-28	0.001022
1100.0	2.734e-28	0.0006964
1200.0	1.927e-28	0.0004909
1300.0	1.398e-28	0.000356
1400.0	1.038e-28	0.0002644
1500.0	7.872e-29	0.0002005
1600.0	6.077e-29	0.0001548
1700.0	4.766e-29	0.0001214
1800.0	3.79e-29	9.656e-05
1900.0	3.052e-29	7.775e-05
2000.0	2.485e-29	6.331e-05
2200.0	1.697e-29	4.322e-05
2400.0	1.197e-29	3.05e-05
2600.0	8.691e-30	2.214e-05
2800.0	6.46e-30	1.646e-05
3000.0	4.901e-30	1.249e-05
3500.0	2.645e-30	6.737e-06
4000.0	1.55e-30	3.948e-06
